Invalid quoted string 'MSIE' encountered while parsing (tag "CFIF" with attributes). 
Invalid quoted string 'MSIE 5' encountered while parsing (tag "CFIF" with attributes). 
Invalid quoted string 'MSIE 5' encountered while parsing (tag "CFIF" with attributes). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
Invalid quoted string 'extended' encountered while parsing (tag "CFELSEIF" with attributes selfservice.functiontarget=). 
