~~
~~ Copyright © 2025 Promisan B.V.
~~
~~ Licensed under the Apache License, Version 2.0 (the "License");
~~ you may not use this file except in compliance with the License.
~~ You may obtain a copy of the License at
~~
~~     http://www.apache.org/licenses/LICENSE-2.0
~~
~~ Unless required by applicable law or agreed to in writing, software
~~ distributed under the License is distributed on an "AS IS" BASIS,
~~ WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
~~ See the License for the specific language governing permissions and
~~ limitations under the License.
~~

year,cars,motorcycles,bicycles
2000,1587,650,121
1995,1567,683,146
1996,1617,691,138
1997,1630,642,127
1998,1660,699,105
1999,1683,721,109
2000,1691,737,112
2001,1298,680,101
2002,1275,664,97
2003,1246,648,93
2004,1218,637,101
2005,1213,633,87
2006,1199,621,79
2007,1110,210,81
2008,1165,232,75
2009,1145,219,88
2010,1163,201,82
2011,1180,285,87
2012,1159,277,71
